BOTTEMP,Observed/Max range,Stressful,Lethal,Code,Name
2.13,,,,BC,Spoonarm octopus
12.01,,,,BC,Octopus unclassified
4.1,,,,BFF,Iceland scallop
26.19,,,,BFF,Atlantic calico scallop
6.2,,,,BG,Benthic grazer
15.2,,,,BG,Benthic grazer
6.3,,11,,BLF,Bluefish
25,,27,,BLF,Bluefish
0.9,,,,BMS,Jonah crab
21.78,,,,BMS,Lady crab
2.99,7.9,15,2.7,BSB,Black sea bass
23.88,30,32,33.6,BSB,Black sea bass
3.9,8,,,CLA,Atlantic surf clam
20.34,22,23,34,CLA,Atlantic surf clam
-1,4,,,COD,Atlantic cod
11.9,13.3,,,COD,Atlantic cod
1.1,5,14.5,,DOG,Spiny dogfish
14.5,21,23,,DOG,Spiny dogfish
2.8,5,1.2,3,DRM,Spot
25.9,30,36.5,39.4,DRM,Northern kingfish
4,,,,DSH,Chain dogfish
25.7,,,,DSH,Sharpnose shark
-1.4,,,,FDF,Longhorn sculpin
22.6,,,,FDF,Inshore lizardfish
1.1,,,,FLA,Gulfstream flounder
17.48,,,,FLA,Gulfstream flounder
0.9,,,,FOU,Fourspot flounder
15.96,,,,FOU,Fourspot flounder
0,8.8,,,GOO,Goosefish
13.7,21.1,,,GOO,Goosefish
0,4,,,HAD,Haddock
12.6,12,10,,HAD,Haddock
1.8,2,5,,HAL,Atlantic halibut
11.26,15,16,,HAL,Atlantic halibut
0,12,14,4,LOB,Lobster
15.4,18,16,32,LOB,Lobster
-1.4,,,,LSK,Little skate
17.22,,,,LSK,Little skate
2.6,,,,MPF,Lanternfish
14.2,,,,MPF,Weitzmans pearlsides
0,11,,,OHK,Offshore hake
13.3,13,,,OHK,Offshore hake
0.1,,,,OPT,Ocean pout
11.9,,,,OPT,Ocean pout
1,,-1.4,,PLA,American plaice
10.38,,na,,PLA,American plaice
1.3,,,,POL,Pollock
10.7,,,,POL,Pollock
4.91,11,8.5,,QHG,Ocean quahog
14.34,14.5,10,,QHG,Ocean quahog
3,,,,RCB,Red deep-sea crab
11.7,,,,RCB,Red deep-sea crab
1,,,,RED,Acadian redfish
10.26,,,,RED,Acadian redfish
8.67,,,,REP,Loggerhead seaturtle
25.1,,,,REP,Loggerhead seaturtle
0,,,,RHK,Red hake
14,,,,RHK,Red hake
1.44,5,9,6,SCA,Sea scallop
14.81,18,20,na,SCA,Sea scallop
3.35,,,,SCU,Scup
24.8,,,35.6,SCU,Scup
5.33,,,,SDF,American eel
19.6,,,,SDF,American eel
0,,,,SHK,Silver hake
15.14,,,,SHK,Silver hake
1.1,0.5,,,SK,Thorny skate
22.63,27,,,SK,Cownose ray
5.32,,,,SMO,Smooth dogfish
22.72,,,,SMO,Smooth dogfish
8.1,,,,SSH,Sandbar shark
23.29,,,,SSH,Sandbar shark
1.96,5,10,2.4,STB,Striped Bass
18.74,28,30,36.1,STB,Striped Bass
1.74,10,,3,SUF,Summer flounder
22.89,24,29,,SUF,Summer flounder
1.7,,,,TAU,Tautog
22.2,22,10,,TAU,Tautog
3.25,9,,,TYL,Tilefish
14.67,14,,,TYL,Tilefish
1.6,,,,WHK,White hake
12.4,,,,WHK,White hake
-1.4,0,12,1,WIF,Winter flounder
16.01,20,37,32.4,WIF,Winter flounder
1.3,2,3,,WOL,Atlantic wolffish
9.8,16,15,,WOL,Atlantic wolffish
-1.2,0,,,WPF,Windowpane flounder
20.75,19,,,WPF,Windowpane flounder
-1.4,,,,WSK,Winter skate
16.37,,,,WSK,Winter skate
0,0,,,WTF,Witch flounder
11.9,16.2,,,WTF,Witch flounder
-1,5,,,YTF,Yellowtail flounder
13.86,12,,,YTF,Yellowtail flounder
1.9,,,,ANC,Bay anchovy
25.8,,,,ANC,Striped anchovy
17.9,,,,BIL,Swordfish
26,,,,BIL,White marlin
0.6,,,,BPF,Argentine
26.3,,,,BPF,Round herring
0.6,,,,BUT,Butterfish
24.8,,,,BUT,Butterfish
0.9,10,5,4,FDE,Alewife
14.45,27,30,36,FDE,Blueback herring
0.7,7,2.8,na,HER,Atlantic herring
15.3,17,23,28.8,HER,Atlantic herring
0.6,12,,12,ISQ,Illex squid
24.6,22,,,ISQ,Illex squid
0.6,,,,LSQ,Loligo squid
25.4,,,,LSQ,Loligo squid
1,7.5,5,na,MAK,Atlantic mackerel
16.7,20.7,15,na,MAK,Atlantic mackerel
2.38,12,14,5,MEN,Menhaden
23.7,25,na,33,MEN,Menhaden
1.2,1,,,NSH,Aesop shrimp
15.92,10,5,,NSH,Aesop shrimp
3.29,,,,OSH,Other penaeids
27.5,,,,OSH,Other penaeids
8.1,,,,PSH,Dusky shark
27.7,,,,PSH,Dusky shark
6.93,,,,TUN,Albacore
18.92,,,,TUN,Little tunny
